Ref,Val,Package,PosX,PosY,Rot,Side
"C23","1uF","C_0603_1608Metric",120.210000,-100.410000,0.000000,top
"C24","0.1uF","C_0402_1005Metric",139.300000,-90.310000,90.000000,top
"C25","0.1uF","C_0402_1005Metric",124.190000,-89.355000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",122.270000,-94.375000,-90.000000,top
"C27","1uF","C_0603_1608Metric",120.215000,-103.420000,180.000000,top
"C28","0.1uF","C_0402_1005Metric",122.270000,-96.195000,90.000000,top
"C29","0.1uF","C_0402_1005Metric",120.790000,-99.080000,0.000000,top
"C30","10nF","C_0402_1005Metric",122.280000,-102.150000,-90.000000,top
"C31","0.1uF","C_0402_1005Metric",138.420000,-105.825000,-90.000000,top
"C32","0.1uF","C_0402_1005Metric",125.980000,-107.325000,-90.000000,top
"C33","0.1uF","C_0603_1608Metric",120.210000,-104.945000,180.000000,top
"C34","2.2uF","C_0603_1608Metric",137.020000,-107.860000,90.000000,top
"C35","2.2uF","C_0603_1608Metric",141.160000,-92.040000,-90.000000,top
"C36","0.1uF","C_0402_1005Metric",129.117500,-84.040000,90.000000,top
"C38","2.2uF","C_0603_1608Metric",131.237500,-83.520000,90.000000,top
"C39","10nF","C_0402_1005Metric",130.040000,-84.040000,90.000000,top
"C43","0.1uF","C_0402_1005Metric",136.710000,-85.400000,90.000000,top
"C44","0.1uF","C_0402_1005Metric",136.010000,-83.970000,0.000000,top
"C46","0.1uF","C_0402_1005Metric",129.610000,-107.440000,180.000000,top
"C50","0.1uF","C_0402_1005Metric",133.420000,-108.070000,90.000000,top
"D3","PMEG2010EH","D_SOD-123F",144.310000,-103.010000,0.000000,top
"D4","LED","LED_0805_2012Metric",143.620000,-88.860000,0.000000,top
"D5","LED","LED_0805_2012Metric",143.670000,-91.910000,0.000000,top
"D6","LED","LED_0805_2012Metric",124.010000,-108.792500,90.000000,top
"D7","LED","LED_0805_2012Metric",121.910000,-108.772500,90.000000,top
"D8","SM712_SOT23","SOT-23",125.530000,-83.682500,90.000000,top
"FB1","1k@100Mhz","L_0603_1608Metric",120.210000,-101.960000,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3_Pad_Via",118.270000,-82.345000,0.000000,top
